championId,championName,rank,targetChampionId,targetChampionName,laneKillRate,targetLaneKillRate,url
gnar,Gnar,3,vayne,Vayne,59.27,40.73,https://www.op.gg/champions/gnar/counters/top?region=kr&tier=emerald_plus&target_champion=vayne
drmundo,Dr. Mundo,1,vayne,Vayne,59.08,40.92,https://www.op.gg/champions/drmundo/counters/top?region=kr&tier=emerald_plus&target_champion=vayne
drmundo,Dr. Mundo,2,singed,Singed,58.96,41.04,https://www.op.gg/champions/drmundo/counters/top?region=kr&tier=emerald_plus&target_champion=singed
drmundo,Dr. Mundo,3,volibear,Volibear,57.29,42.71,https://www.op.gg/champions/drmundo/counters/top?region=kr&tier=emerald_plus&target_champion=volibear
urgot,Urgot,1,kayle,Kayle,69.41,30.59,https://www.op.gg/champions/urgot/counters/top?region=kr&tier=emerald_plus&target_champion=kayle
urgot,Urgot,2,singed,Singed,67.89,32.11,https://www.op.gg/champions/urgot/counters/top?region=kr&tier=emerald_plus&target_champion=singed
urgot,Urgot,3,ryze,Ryze,67.69,32.31,https://www.op.gg/champions/urgot/counters/top?region=kr&tier=emerald_plus&target_champion=ryze
kled,Kled,1,monkeyking,Wukong,67.47,32.53,https://www.op.gg/champions/kled/counters/top?region=kr&tier=emerald_plus&target_champion=monkeyking
kled,Kled,2,ryze,Ryze,65.85,34.15,https://www.op.gg/champions/kled/counters/top?region=kr&tier=emerald_plus&target_champion=ryze
kled,Kled,3,kayle,Kayle,64.35,35.65,https://www.op.gg/champions/kled/counters/top?region=kr&tier=emerald_plus&target_champion=kayle
zaahen,Zaahen,1,yasuo,Yasuo,56.89,43.11,https://www.op.gg/champions/zaahen/counters/top?region=kr&tier=emerald_plus&target_champion=yasuo
zaahen,Zaahen,2,vayne,Vayne,56.8,43.2,https://www.op.gg/champions/zaahen/counters/top?region=kr&tier=emerald_plus&target_champion=vayne
zaahen,Zaahen,3,quinn,Quinn,55.12,44.88,https://www.op.gg/champions/zaahen/counters/top?region=kr&tier=emerald_plus&target_champion=quinn
rumble,Rumble,1,singed,Singed,66.44,33.56,https://www.op.gg/champions/rumble/counters/top?region=kr&tier=emerald_plus&target_champion=singed
rumble,Rumble,2,vayne,Vayne,62.38,37.62,https://www.op.gg/champions/rumble/counters/top?region=kr&tier=emerald_plus&target_champion=vayne
rumble,Rumble,3,monkeyking,Wukong,61.6,38.4,https://www.op.gg/champions/rumble/counters/top?region=kr&tier=emerald_plus&target_champion=monkeyking
monkeyking,Wukong,1,urgot,Urgot,65.49,34.51,https://www.op.gg/champions/monkeyking/counters/top?region=kr&tier=emerald_plus&target_champion=urgot
monkeyking,Wukong,2,singed,Singed,65.19,34.81,https://www.op.gg/champions/monkeyking/counters/top?region=kr&tier=emerald_plus&target_champion=singed
monkeyking,Wukong,3,vayne,Vayne,64.67,35.33,https://www.op.gg/champions/monkeyking/counters/top?region=kr&tier=emerald_plus&target_champion=vayne
fiora,Fiora,1,singed,Singed,62.06,37.94,https://www.op.gg/champions/fiora/counters/top?region=kr&tier=emerald_plus&target_champion=singed
fiora,Fiora,2,vayne,Vayne,55.91,44.09,https://www.op.gg/champions/fiora/counters/top?region=kr&tier=emerald_plus&target_champion=vayne
fiora,Fiora,3,yone,Yone,55.73,44.27,https://www.op.gg/champions/fiora/counters/top?region=kr&tier=emerald_plus&target_champion=yone
akali,Akali,1,kayle,Kayle,66.23,33.77,https://www.op.gg/champions/akali/counters/top?region=kr&tier=emerald_plus&target_champion=kayle
akali,Akali,2,singed,Singed,64.25,35.75,https://www.op.gg/champions/akali/counters/top?region=kr&tier=emerald_plus&target_champion=singed
akali,Akali,3,heimerdinger,Heimerdinger,62.45,37.55,https://www.op.gg/champions/akali/counters/top?region=kr&tier=emerald_plus&target_champion=heimerdinger
anivia,Anivia,1,kayle,Kayle,71.7,28.3,https://www.op.gg/champions/anivia/counters/top?region=kr&tier=emerald_plus&target_champion=kayle
anivia,Anivia,2,teemo,Teemo,69.9,30.1,https://www.op.gg/champions/anivia/counters/top?region=kr&tier=emerald_plus&target_champion=teemo
anivia,Anivia,3,illaoi,Illaoi,69.14,30.86,https://www.op.gg/champions/anivia/counters/top?region=kr&tier=emerald_plus&target_champion=illaoi
vayne,Vayne,1,kayle,Kayle,52.09,47.91,https://www.op.gg/champions/vayne/counters/top?region=kr&tier=emerald_plus&target_champion=kayle
vayne,Vayne,2,singed,Singed,52.05,47.95,https://www.op.gg/champions/vayne/counters/top?region=kr&tier=emerald_plus&target_champion=singed
vayne,Vayne,3,quinn,Quinn,51.32,48.68,https://www.op.gg/champions/vayne/counters/top?region=kr&tier=emerald_plus&target_champion=quinn
ambessa,Ambessa,1,singed,Singed,60.3,39.7,https://www.op.gg/champions/ambessa/counters/top?region=kr&tier=emerald_plus&target_champion=singed
ambessa,Ambessa,2,drmundo,Dr. Mundo,59.97,40.03,https://www.op.gg/champions/ambessa/counters/top?region=kr&tier=emerald_plus&target_champion=drmundo
ambessa,Ambessa,3,vayne,Vayne,58.61,41.39,https://www.op.gg/champions/ambessa/counters/top?region=kr&tier=emerald_plus&target_champion=vayne
riven,Riven,1,yasuo,Yasuo,56.32,43.68,https://www.op.gg/champions/riven/counters/top?region=kr&tier=emerald_plus&target_champion=yasuo
riven,Riven,2,singed,Singed,56.31,43.69,https://www.op.gg/champions/riven/counters/top?region=kr&tier=emerald_plus&target_champion=singed
riven,Riven,3,teemo,Teemo,55.37,44.63,https://www.op.gg/champions/riven/counters/top?region=kr&tier=emerald_plus&target_champion=teemo
tryndamere,Tryndamere,1,drmundo,Dr. Mundo,64.17,35.83,https://www.op.gg/champions/tryndamere/counters/top?region=kr&tier=emerald_plus&target_champion=drmundo
tryndamere,Tryndamere,2,vladimir,Vladimir,62.2,37.8,https://www.op.gg/champions/tryndamere/counters/top?region=kr&tier=emerald_plus&target_champion=vladimir
tryndamere,Tryndamere,3,kayle,Kayle,61.82,38.18,https://www.op.gg/champions/tryndamere/counters/top?region=kr&tier=emerald_plus&target_champion=kayle
